JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37765.043,   219.324,   175.891,    20.930,     0.000,     0.000,     0.000,     0.250,    83.391,  2259.720,     1.000,    13.806,  -198.176,     0.000,   312.317,   412.154,    87.559,    10.781,     0.000,
 37766.043,   237.898,   175.783,    20.261,     0.000,     0.000,     0.000,     0.250,    83.283,  2259.720,     1.000,    13.730,  -244.397,     0.000,   271.744,   408.435,    76.429,    31.277,     0.000,
 37767.043,   237.921,   175.641,    20.359,     0.000,     0.000,     0.000,     0.250,    83.141,  2259.720,     1.000,    13.852,  -227.605,     0.000,   281.463,   408.955,    74.218,    25.896,     0.000,
 37768.043,   228.758,   175.515,    20.633,     0.000,     0.000,     0.000,     0.250,    83.015,  2259.720,     1.000,    13.932,  -189.643,     0.000,   315.879,   410.504,    86.250,     8.767,     0.000,
 37769.042,   211.273,   175.434,    20.976,     0.000,     0.000,     0.000,     0.250,    82.934,  2216.730,     1.000,    14.002,  -153.515,     0.000,   330.656,   412.418,    70.340,     1.412,     0.000,
 37770.042,   196.894,   175.397,    20.756,     0.000,     0.000,     0.000,     0.250,    82.897,  2216.730,     1.000,    13.979,  -209.169,     0.000,   305.235,   411.174,    87.716,    15.514,     0.000,
 37771.042,   190.364,   175.392,    20.686,     0.000,     0.000,     0.000,     0.250,    82.892,  2216.730,     1.000,    14.122,  -168.646,     0.000,   323.163,   410.761,    76.898,     4.149,     0.000,
 37772.042,   170.105,   175.457,    21.088,     0.000,     0.000,     0.000,     0.250,    82.957,  2216.730,     1.000,    14.204,  -128.330,     0.000,   345.937,   413.029,    66.994,    -5.756,     0.000,
 37773.042,   192.018,   175.533,    21.419,     0.000,     0.000,     0.000,     0.250,    83.033,  2259.720,     1.000,    14.289,  -151.023,     0.000,   342.030,   414.904,    80.856,    -2.707,     0.000,
 37774.042,   195.666,   175.568,    21.449,     0.000,     0.000,     0.000,     0.250,    83.068,  2259.720,     1.000,    14.384,  -219.670,     0.000,   302.025,   415.063,    87.546,    19.086,     0.000,
 37775.042,   205.374,   175.575,    21.663,     0.000,     0.000,     0.000,     0.250,    83.075,  2259.720,     1.000,    14.508,  -169.400,     0.000,   326.616,   416.283,    70.493,     9.239,     0.000,
 37776.042,   212.865,   175.541,    21.031,     0.000,     0.000,     0.000,     0.250,    83.041,  2259.720,     1.000,    14.450,  -179.746,     0.000,   311.314,   412.700,    65.687,    12.673,     0.000,
 37777.042,   203.637,   175.501,    22.168,     0.000,     0.000,     0.000,     0.250,    83.001,  2259.720,     1.000,    14.663,  -131.624,     0.000,   357.826,   419.180,    83.392,   -13.122,     0.000,
 37778.042,   175.366,   175.541,    22.898,     0.000,     0.000,     0.000,     0.250,    83.041,  2259.720,     1.000,    14.741,   -76.017,     0.000,   382.698,   423.301,    52.814,   -17.400,     0.000,
 37779.042,   159.336,   175.781,    23.328,     0.000,     0.000,     0.000,     0.250,    83.281,  2259.720,     1.000,    14.928,  -146.349,     0.000,   349.816,   425.749,    70.405,     0.011,     0.000,
 37780.043,   223.060,   176.092,    23.688,     0.000,     0.000,     0.000,     0.250,    83.592,  2259.720,     1.000,    15.035,  -229.993,     0.000,   323.161,   427.846,   109.167,    16.141,     0.000,
 37781.043,   247.251,   176.320,    23.467,     0.000,     0.000,     0.000,     0.250,    83.820,  2259.720,     1.000,    15.075,  -223.998,     0.000,   314.570,   426.568,    93.080,    18.920,     0.000,
 37782.043,   230.592,   176.490,    23.273,     0.000,     0.000,     0.000,     0.250,    83.990,  2259.720,     1.000,    15.187,  -188.741,     0.000,   330.657,   425.434,    84.683,     9.281,     0.000,
 37783.043,   253.048,   176.528,    23.589,     0.000,     0.000,     0.000,     0.250,    84.028,  2296.510,     1.000,    15.226,  -129.020,     0.000,   365.901,   427.281,    74.637,    -6.998,     0.000,
 37784.043,   258.004,   176.454,    24.243,     0.000,     0.000,     0.000,     0.250,    83.954,  2259.720,     1.000,    15.362,  -115.147,     0.000,   382.833,   431.092,    83.856,   -16.969,     0.000,
 37785.043,   274.231,   176.343,    24.101,     0.000,     0.000,     0.000,     0.250,    83.843,  2259.720,     1.000,    15.461,  -202.394,     0.000,   334.958,   430.260,    97.107,     9.985,     0.000,
 37786.043,   294.088,   176.184,    24.295,     0.000,     0.000,     0.000,     0.250,    83.684,  2259.720,     1.000,    15.578,  -240.831,     0.000,   315.876,   431.359,   104.948,    20.399,     0.000,
 37787.044,   359.150,   175.935,    24.070,     0.000,     0.000,     0.000,     0.250,    83.435,  2259.720,     1.000,    15.603,  -256.536,     0.000,   326.890,   430.105,   137.819,    15.501,     0.000,
 37788.044,   342.945,   175.618,    23.162,     0.000,     0.000,     0.000,     0.250,    83.118,  2259.720,     1.000,    15.632,  -232.053,     0.000,   319.536,   424.840,   112.122,    14.628,     0.000,
 37789.044,   352.295,   175.272,    22.580,     0.000,     0.000,     0.000,     0.250,    82.772,  2216.730,     1.000,    15.647,  -227.119,     0.000,   323.163,   421.502,   116.834,    11.945,     0.000,
 37790.043,   298.179,   174.960,    20.829,     0.000,     0.000,     0.000,     0.250,    82.460,  2216.730,     1.000,    15.587,  -199.653,     0.000,   319.534,   411.556,   101.004,     6.627,     0.000,
 37791.044,   329.386,   174.657,    21.464,     0.000,     0.000,     0.000,     0.250,    82.157,  2216.730,     1.000,    15.818,  -175.568,     0.000,   338.143,   415.148,    97.365,     1.198,     0.000,
 37792.043,   269.402,   174.343,    21.845,     0.000,     0.000,     0.000,     0.250,    81.843,  2171.600,     1.000,    15.873,  -212.838,     0.000,   315.876,   417.308,    99.378,    12.027,     0.000,
 37793.043,   252.402,   174.052,    22.275,     0.000,     0.000,     0.000,     0.250,    81.552,  2171.600,     1.000,    16.023,  -188.991,     0.000,   330.661,   419.745,    94.029,     5.879,     0.000,
 37794.043,   215.720,   173.845,    22.892,     0.000,     0.000,     0.000,     0.250,    81.345,  2171.600,     1.000,    16.076,  -153.701,     0.000,   365.901,   423.267,   109.153,   -12.819,     0.000,
 37795.042,   202.447,   173.693,    24.122,     0.000,     0.000,     0.000,     0.250,    81.193,  2171.600,     1.000,    16.230,  -145.958,     0.000,   378.272,   430.368,   107.474,   -13.612,     0.000,
 37796.042,   202.077,   173.489,    24.338,     0.000,     0.000,     0.000,     0.250,    80.989,  2138.340,     1.000,    16.350,  -130.129,     0.000,   386.674,   431.592,    92.933,    -7.721,     0.000,
 37797.042,   213.701,   173.205,    24.373,     0.000,     0.000,     0.000,     0.250,    80.705,  2138.340,     1.000,    16.412,   -70.405,     0.000,   416.891,   431.784,    66.808,   -11.297,     0.000,
 37798.042,   182.729,   172.910,    24.601,     0.000,     0.000,     0.000,     0.250,    80.410,  2138.340,     1.000,    16.485,  -199.874,     0.000,   362.394,   433.116,   130.454,    -1.302,     0.000,
 37799.042,   190.241,   172.636,    24.436,     0.000,     0.000,     0.000,     0.250,    80.136,  2138.340,     1.000,    16.562,  -221.692,     0.000,   338.357,   432.167,   118.664,     9.217,     0.000,
 37800.042,   200.567,   172.347,    24.460,     0.000,     0.000,     0.000,     0.250,    79.847,  2106.080,     1.000,    16.661,  -239.622,     0.000,   326.894,   432.293,   118.977,    15.246,     0.000,
 37801.042,   154.493,   172.096,    25.562,     0.000,     0.000,     0.000,     0.250,    79.596,  2106.080,     1.000,    16.870,  -245.905,     0.000,   357.746,   438.807,   159.808,     5.036,     0.000,
 37802.046,   586.445,   171.890,    25.568,     0.000,     0.000,     0.000,     0.250,    79.390,  2106.080,     1.000,    16.859,  -214.185,     0.000,   369.961,   438.888,   147.355,    -2.097,     0.000,
 37803.045,   446.580,   171.674,    25.703,     0.000,     0.000,     0.000,     0.250,    79.174,  2106.080,     1.000,    17.015,  -214.034,     0.000,   353.795,   439.633,   121.252,     6.944,     0.000,
 37804.045,   462.709,   171.441,    25.900,     0.000,     0.000,     0.000,     0.250,    78.941,  2072.430,     1.000,    17.086,  -186.335,     0.000,   369.963,   440.743,   116.313,    -0.758,     0.000,
 37805.044,   317.985,   171.132,    26.400,     0.000,     0.000,     0.000,     0.250,    78.632,  2072.430,     1.000,    17.215,  -162.914,     0.000,   395.358,   443.689,   126.073,   -11.489,     0.000,
 37806.045,   438.982,   170.791,    27.225,     0.000,     0.000,     0.000,     0.250,    78.291,  2072.430,     1.000,    17.367,  -202.293,     0.000,   386.738,   448.657,   144.800,    -4.426,     0.000,
 37807.045,   452.848,   170.514,    27.426,     0.000,     0.000,     0.000,     0.250,    78.014,  2072.430,     1.000,    17.525,  -204.290,     0.000,   382.524,   449.807,   138.181,    -1.174,     0.000,
 37808.044,   393.990,   170.334,    28.092,     0.000,     0.000,     0.000,     0.250,    77.834,  2038.850,     1.000,    17.639,  -210.480,     0.000,   404.222,   453.807,   171.737,   -10.843,     0.000,
 37809.044,   392.310,   170.557,    26.444,     0.000,     0.000,     0.000,     0.250,    78.057,  2072.430,     1.000,    17.641,  -126.451,     0.000,   413.166,   443.982,   115.389,   -19.754,     0.000,
 37810.044,   356.835,   170.150,    26.661,     0.000,     0.000,     0.000,     0.250,    77.650,  2038.850,     1.000,    17.702,  -150.232,     0.000,   391.069,   445.231,   103.653,    -7.583,     0.000,
 37811.045,   398.482,   169.405,    28.155,     0.000,     0.000,     0.000,     0.250,    76.905,  2005.400,     1.000,    17.728,  -210.362,     0.000,   391.067,   454.256,   149.543,    -2.370,     0.000,
 37812.044,   326.133,   168.982,    28.768,     0.000,     0.000,     0.000,     0.250,    76.482,  2005.400,     1.000,    17.831,  -217.257,     0.000,   391.064,   458.054,   150.557,    -0.290,     0.000,
 37813.044,   326.708,   168.464,    28.969,     0.000,     0.000,     0.000,     0.250,    75.964,  1969.210,     1.000,    17.888,  -204.376,     0.000,   395.372,   459.162,   142.432,    -1.846,     0.000,
