 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37736.043,   1,  0.62624484E+09,   0.00000000E+00,  -0.32755640E+09,   0.00000000E+00,   0.00000000E+00,  -0.55217533E+07,   0.00000000E+00,   0.00000000E+00,   0.37612817E-11,
 37737.043,   1,  0.64312668E+09,   0.00000000E+00,  -0.33611597E+09,   0.00000000E+00,   0.00000000E+00,  -0.56285716E+07,   0.00000000E+00,   0.00000000E+00,   0.28478906E-11,
 37738.042,   1,  0.65776532E+09,   0.00000000E+00,  -0.34412566E+09,   0.00000000E+00,   0.00000000E+00,  -0.56881678E+07,   0.00000000E+00,   0.00000000E+00,   0.24000381E-11,
 37739.042,   1,  0.67038006E+09,   0.00000000E+00,  -0.35205990E+09,   0.00000000E+00,   0.00000000E+00,  -0.57857557E+07,   0.00000000E+00,   0.00000000E+00,   0.12205643E-11,
 37740.042,   1,  0.68409403E+09,   0.00000000E+00,  -0.36052956E+09,   0.00000000E+00,   0.00000000E+00,  -0.59009864E+07,   0.00000000E+00,   0.00000000E+00,  -0.22516062E-12,
 37741.042,   1,  0.69919325E+09,   0.00000000E+00,  -0.37066107E+09,   0.00000000E+00,   0.00000000E+00,  -0.60159974E+07,   0.00000000E+00,   0.00000000E+00,  -0.42506477E-12,
 37742.042,   1,  0.71497840E+09,   0.00000000E+00,  -0.38264769E+09,   0.00000000E+00,   0.00000000E+00,  -0.61274645E+07,   0.00000000E+00,   0.00000000E+00,   0.10963322E-12,
 37743.042,   1,  0.73099905E+09,   0.00000000E+00,  -0.39578681E+09,   0.00000000E+00,   0.00000000E+00,  -0.62366149E+07,   0.00000000E+00,   0.00000000E+00,  -0.21741868E-12,
 37744.043,   1,  0.74591760E+09,   0.00000000E+00,  -0.40932854E+09,   0.00000000E+00,   0.00000000E+00,  -0.63540583E+07,   0.00000000E+00,   0.00000000E+00,   0.30683564E-12,
 37745.042,   1,  0.76203956E+09,   0.00000000E+00,  -0.42291087E+09,   0.00000000E+00,   0.00000000E+00,  -0.64243849E+07,   0.00000000E+00,   0.00000000E+00,  -0.16123634E-12,
 37746.043,   1,  0.77860873E+09,   0.00000000E+00,  -0.43664500E+09,   0.00000000E+00,   0.00000000E+00,  -0.64885616E+07,   0.00000000E+00,   0.00000000E+00,  -0.56855081E-12,
 37747.044,   1,  0.79149933E+09,   0.00000000E+00,  -0.45075623E+09,   0.00000000E+00,   0.00000000E+00,  -0.65764516E+07,   0.00000000E+00,   0.00000000E+00,  -0.22296095E-11,
 37748.044,   1,  0.80183729E+09,   0.00000000E+00,  -0.46513064E+09,   0.00000000E+00,   0.00000000E+00,  -0.66635684E+07,   0.00000000E+00,   0.00000000E+00,  -0.11016449E-11,
 37749.044,   1,  0.81193966E+09,   0.00000000E+00,  -0.48032074E+09,   0.00000000E+00,   0.00000000E+00,  -0.67614585E+07,   0.00000000E+00,   0.00000000E+00,  -0.86235820E-12,
 37750.043,   1,  0.82329402E+09,   0.00000000E+00,  -0.49590616E+09,   0.00000000E+00,   0.00000000E+00,  -0.68778759E+07,   0.00000000E+00,   0.00000000E+00,  -0.74387462E-12,
 37751.043,   1,  0.83485254E+09,   0.00000000E+00,  -0.51074877E+09,   0.00000000E+00,   0.00000000E+00,  -0.70070767E+07,   0.00000000E+00,   0.00000000E+00,  -0.84586740E-12,
 37752.043,   1,  0.84652199E+09,   0.00000000E+00,  -0.52477963E+09,   0.00000000E+00,   0.00000000E+00,  -0.71441680E+07,   0.00000000E+00,   0.00000000E+00,  -0.15157040E-11,
